id,IATA,en-GB,latitude,longitude,vibes
128668243,AAA,Anaa,-17.35542961176671,-145.50941496626925,"{""weather"": 1, ""safety"": 1}"
129052440,AAB,Arrabury,-26.7,141.041667,"{""safety"": 1, ""weather"": 1}"
154088928,AAD,Adado,6.095833,46.6375,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128667593,AAE,Annaba,36.821667,7.81,"{""weather"": 1, ""safety"": 1}"
129057725,AAF,Apalachicola,29.72938,-85.0288,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
129053851,AAG,Arapoti,-24.103611,-49.79,"{""safety"": 1, ""weather"": 1}"
129057414,AAH,Aachen / Merzbruck,50.75,6.133333,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129052979,AAI,Arraias,-12.916667,-46.933333,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
129056817,AAJ,Awaradam,3.9,-55.366667,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129054485,AAK,Aranuka,0.166667,173.583333,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
95673990,AAL,Aalborg,57.093056,9.85,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129055248,AAM,Mala Mala,-24.8,31.533333,"{""weather"": 1, ""safety"": 1}"
128667537,AAN,Al Ain,24.25,55.75,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129056450,AAO,Anaco,9.431944,-64.463889,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
200615313,AAP,AP Tumenggung Pranoto,-0.373611,117.255556,"{""safety"": 1, ""weather"": 1}"
114117387,AAQ,Anapa,45.002097,37.347272,"{""weather"": 1, ""safety"": 1}"
95673987,AAR,Aarhus,56.310278,10.618056,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129053028,AAS,Apalapsili,-3.916667,139.25,"{""weather"": 1, ""safety"": 1}"
128668242,AAT,Altay,47.75223,88.08738,"{""weather"": 1, ""safety"": 1}"
129056449,AAU,Asau,-13.458333,-172.6,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129052414,AAV,Alah,6.333333,124.766667,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129054813,AAW,Abbottabad,34.2,73.25,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
95673908,AAX,Araxa,-19.568056,-46.929167,"{""weather"": 1, ""safety"": 1}"
128668193,AAY,Al Ghaydah,16.2,52.183333,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129057724,AAZ,Quetzaltenango,14.865556,-91.501944,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
128668315,ABA,Abakan,53.716667,91.5,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
128668194,ABB,Asaba International,6.195168,6.729126,"{""weather"": 1, ""safety"": 1}"
129057413,ABC,Albacete,38.948333,-1.863333,"{""safety"": 1, ""weather"": 1}"
128668050,ABD,Abadan,30.366667,48.233333,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
95566291,ABE,Allentown,40.654722,-75.438333,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
129052978,ABF,Abaiang,1.799150274715055,173.03934681636522,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129056816,ABG,Abingdon,-17.666667,143.2,"{""safety"": 1, ""weather"": 1}"
129054484,ABH,Alpha,-23.65,146.633333,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
95674197,ABI,Abilene Municipal,32.409444,-99.679722,"{""weather"": 1, ""safety"": 1}"
99539624,ABJ,Abidjan,5.256389,-3.926944,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129053027,ABK,Kabri Dar,6.733889,44.266111,"{""weather"": 1, ""safety"": 1}"
128668475,ABL,Ambler,67.0875,-157.845833,"{""weather"": 1, ""safety"": 1}"
128668196,ABM,Bamaga,-10.866667,142.4,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129056448,ABN,Albina,5.5,-54.083333,"{""weather"": 1, ""safety"": 1}"
129055247,ABO,Aboisso,5.433333,-3.216667,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129052413,ABP,Atkamba,-6.066667,141.1,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
128667331,ABQ,Albuquerque,35.042084,-106.609268,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
128668197,ABR,Aberdeen,45.4525,-98.426111,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
128667592,ABS,Abu Simbel,22.372222,31.615278,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128667536,ABT,Al-Baha,20.296111,41.634167,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
128668474,ABU,Atambua,-9.133333,124.883333,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
128668198,ABV,Abuja,9.0,7.266667,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129055881,ABW,Abau,-10.183333,148.7,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
128668314,ABX,Albury,-36.068333,146.976667,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
95674281,ABY,Albany Dougherty County,31.532222,-84.196111,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
95674056,ABZ,Aberdeen,57.204167,-2.198056,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
95673649,ACA,Acapulco,16.755556,-99.766944,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""0"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
129054812,ACB,Bellaire,44.983333,-85.216667,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
128667421,ACC,Accra,5.595278,-0.170833,"{""nightlife_and_entertainment"": ""1"", ""underrated_destinations"": ""0"", ""beach"": ""0"", ""art_and_culture"": ""1"", ""great_food"": ""1"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
128668049,ACD,Acandi,8.516667,-77.3,"{""safety"": 1, ""weather"": 1}"
95673311,ACE,Lanzarote,28.9502502,-13.6057447,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
216756567,ACF,Alaer Talimu,40.43,81.27,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
128668188,ACH,St Gallen Altenrhein,47.4833,9.5667,"{""safety"": 1, ""weather"": 1}"
128668200,ACI,Alderney,49.706944,-2.215278,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
129057412,ACJ,Anuradhapura,8.35,80.383333,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
95674068,ACK,Nantucket,41.256667,-70.059722,"{""safety"": 1, ""weather"": 1}"
129052977,ACL,Aguaclara,4.75,-73.0,"{""outdoor_adventures"": 1, ""safety"": 1, ""weather"": 1}"
129055882,ACM,Arica,-2.0,-71.833333,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129053849,ACN,Ciudad Acuna,29.3329,-101.099,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
218378907,ACO,Cobano,9.691961823199776,-85.09660829022813,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
128667330,ACP,Sahand,37.354444,46.149722,"{""great_food"": 1, ""safety"": 1, ""weather"": 1}"
128668201,ACR,Araracuara,-0.601104,-72.398014,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129054981,ACS,Achinsk,56.266667,90.566667,"{""safety"": 1, ""weather"": 1}"
95674183,ACT,Waco Municipal,31.607778,-97.230278,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
129052987,ACU,Achutupo,9.190904,-77.993778,"{""safety"": 1, ""weather"": 1}"
128667591,ACV,Arcata,40.979167,-124.1075,"{""art_and_culture"": 1, ""safety"": 1, ""weather"": 1}"
128668202,ACX,Xingyi,25.085556,104.959444,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
104120227,ACY,Atlantic City International,39.45,-74.583333,"{""underrated_destinations"": 1, ""safety"": 1, ""weather"": 1}"
128668473,ACZ,Zabol,31.085833,61.535,"{""beach"": 1, ""safety"": 1, ""weather"": 1}"
128667332,ADA,Adana,36.983611,35.280833,"{""nightlife_and_entertainment"": 1, ""safety"": 1, ""weather"": 1}"
95673399,ADB,Izmir,38.283333,27.15,"{""nightlife_and_entertainment"": ""0"", ""underrated_destinations"": ""1"", ""beach"": ""0"", ""art_and_culture"": ""1"", ""great_food"": ""0"", ""outdoor_adventures"": ""0"", ""safety"": 1, ""weather"": 1}"
